DokumentUrl*;Verknüpfungsart*;Abonnements;Dokumentbeschreibung;Sprache*;Dokumenttyp*;Dokumentnummer;Ausgabedatum;AcCode*;ID;Löschen
Document Url*;Url Type*;Subscriptions;Document Description;Language*;Document Type*;Document identifier;Publication date;AcCode*;ID;Delete
URL du document*;Type de lien*;Abonnements;Descriptif des documents;Langue*;Type de document*;Indice du document;Date de publication;AcCode*;ID;Supprimer
http://jhci/livelink/llisapi.dll/55329136/DIN_EN_ISO_10360-5_Geometrische_Produktspezifikation%C2%A0-_Annahmepr%C3%BCfung_und_Best%C3%A4tigungspr%C3%BCfung_f%C3%BCr_Koordinatenmessger%C3%A4te%C2%A0-_Teil%C2%A05_Pr%C3%BCfung_der_Antastabweichungen_von_KMG_mit_ber%C3%BChrendem_Messkopfsyste.pdf?func=doc.Fetch&nodeId=55329136&vernum=1;Url;;DIN EN ISO 10360-5 (2011-01-00);de;trule;DIN EN ISO 10360-5;2011-01-00;DE30038591;dc9e8373-e09b-44c6-8c86-a5871e6015bc;
http://jhci/livelink/llisapi.dll/8897073/DIN_32937_Mess-_und_Pr%C3%BCfmittel%C3%BCberwachung_-_Planen%2C_Verwalten_und_Einsetzen_von_Mess-_und_Pr%C3%BCfmitteln.pdf?func=doc.Fetch&nodeId=8897073&vernum=2;Url;;DIN 32937 (2017-08-00);de;trule;DIN 32937;2017-08-00;DE30073410;660f459c-9e11-4aeb-a5f6-06fad0f0a605;
http://jhci.global.jhcn.net/livelink/llisapi.dll/401919/DIN_ISO_8826-2_Technische_Zeichnungen_-_W%C3%A4lzlager_mit_Warnvermerk.pdf?func=doc.Fetch&nodeId=401919&vernum=2;Url;;DIN ISO 8826-2 (1995-10-00);de;trule;DIN ISO 8826-2;1995-10-00;DE18970981;c6716577-3c8a-4067-b8d8-2ef28712bc3a;
http://jhci/livelink/llisapi.dll/1026569/DIN_ISO_230-2_Werkzeugmaschinen_-_Pr%C3%BCfregeln_f%C3%BCr_Werkzeugmaschinen_-_Bestimmung_der_Positionierunsicherheit.pdf?func=doc.Fetch&nodeId=1026569&vernum=2;Url;;DIN ISO 230-2 (2011-11-00);xx;trule;DIN ISO 230-2;2011-11-00;DE30046007;e95cf27e-8d4d-400c-8118-02a48ec438cf;
http://jhci/livelink/llisapi.dll/55336300/IEC_60050-161_AMD_7_International_electrotechnical_vocabulary_-_Part_161_Electromagnetic_compatibility_AMD7_08_2017.pdf?func=doc.Fetch&nodeId=55336300&vernum=1;Url;;IEC 60050-161 AMD 7 * CEI 60050-161 AMD 7 (2017-08-00);xx;trule;IEC 60050-161 AMD 7 * CEI 60050-161 AMD 7;2017-08-00;IX88565300;b3073092-b9a3-4cb7-956d-0707ab0147cc;
http://jhci/livelink/llisapi.dll/55341757/DIN_ISO_TS_15066__DIN_SPEC_5306_Roboter_und_Robotikger%C3%A4te%C2%A0-_Kollaborierende_Roboter_04_2017_VORNORM.pdf?func=doc.Fetch&nodeId=55341757&vernum=1;Url;;DIN ISO/TS 15066 * DIN SPEC 5306 (2017-04-00);de;trule;DIN ISO/TS 15066 * DIN SPEC 5306;2017-04-00;DE30069823;65527fea-0242-4291-b89a-1207411cdc05;
http://jhci/livelink/llisapi.dll/58519028/DIN_EN_ISO_2553__Schwei%C3%9Fen_und_verwandte_Prozesse_-_Symbolische_Darstellung_in_Zeichnungen_-_Schwei%C3%9Fverbindungen_04_2014.pdf?func=doc.Fetch&nodeId=58519028&vernum=1;Url;;DIN EN ISO 2553 (2017-04-00);de;trule;DIN EN ISO 2553;2017-04-00;DE30071209;987e6e74-ad34-4d3a-94a6-b4c832bd1686;
http://jhci/livelink/llisapi.dll/63464736/VDE_0170-5_Ber._1__DIN_EN_60079-1_Ber._1_Explosionsgef%C3%A4hrdete_Bereiche_-_Teil_1_Ger%C3%A4teschutz_durch_druckfeste_Kapselung_d_BER_1_01_2019.pdf?func=doc.Fetch&nodeId=63464736&vernum=1;Url;;DIN EN 60079-1 Berichtigung 1 * VDE 0170-5 Berichtigung 1 (2019-01-00);de;trule;DIN EN 60079-1 Berichtigung 1 * VDE 0170-5 Berichtigung 1;2019-01-00;DE30079932;58da7c04-0650-4736-ace3-e99933f638be;
